,exp,edu,scale,avgsalary,lnsalary,city,type,industry
2428,无工作经验,大专,10000人以上,5.25,1.6582280766035324,其他,上市公司,计算机软件
2429,无工作经验,中专,1000-5000人,3.75,1.3217558399823195,其他,民营公司,快速消费品(食品、饮料、化妆品)
2430,无工作经验,大专,50-150人,9.0,2.19722457733622,上海,民营公司,互联网/电子商务
2431,3-4年经验,本科,500-1000人,12.5,2.525728644308256,上海,合资,其他
2432,无工作经验,大专,50-150人,9.0,2.19722457733622,上海,民营公司,专业服务(咨询、人力资源、财会)
2433,3-4年经验,大专,500-1000人,9.0,2.19722457733622,广州,民营公司,服装/纺织/皮革
2434,无工作经验,无学历要求,150-500人,7.5,2.0149030205422647,其他,民营公司,服装/纺织/皮革
2435,2年经验,本科,150-500人,6.0,1.791759469228055,其他,民营公司,其他
2436,无工作经验,本科,少于50人,7.5,2.0149030205422647,其他,国企,其他
2437,无工作经验,本科,1000-5000人,5.0,1.6094379124341005,其他,合资,其他
2438,无工作经验,无学历要求,50-150人,5.25,1.6582280766035324,其他,民营公司,服装/纺织/皮革
2439,无工作经验,无学历要求,50-150人,7.0,1.9459101490553128,杭州,民营公司,互联网/电子商务
2440,2年经验,中专,500-1000人,6.0,1.791759469228055,深圳,合资,服装/纺织/皮革
2441,5-7年经验,大专,500-1000人,9.5,2.2512917986064958,其他,外资企业,其他
2442,1年经验,本科,150-500人,5.25,1.6582280766035324,其他,民营公司,其他
2443,无工作经验,大专,1000-5000人,5.5,1.7047480922384253,广州,民营公司,快速消费品(食品、饮料、化妆品)
2444,无工作经验,大专,150-500人,3.75,1.3217558399823195,其他,民营公司,其他
2445,无工作经验,大专,150-500人,5.25,1.6582280766035324,其他,民营公司,其他
2446,1年经验,大专,500-1000人,3.75,1.3217558399823195,其他,民营公司,服装/纺织/皮革
2447,1年经验,大专,150-500人,3.75,1.3217558399823195,其他,民营公司,其他
2448,3-4年经验,无学历要求,500-1000人,6.0,1.791759469228055,广州,民营公司,服装/纺织/皮革
2449,1年经验,大专,150-500人,5.0,1.6094379124341005,其他,民营公司,服装/纺织/皮革
2450,2年经验,本科,150-500人,7.0,1.9459101490553128,其他,民营公司,计算机软件
2451,5-7年经验,本科,1000-5000人,12.5,2.525728644308256,其他,民营公司,其他
2452,2年经验,大专,150-500人,7.0,1.9459101490553128,其他,民营公司,快速消费品(食品、饮料、化妆品)
2453,无工作经验,无学历要求,500-1000人,7.0,1.9459101490553128,深圳,外资企业,服装/纺织/皮革
2454,1年经验,大专,150-500人,4.25,1.4469189829363254,广州,民营公司,互联网/电子商务
2455,无工作经验,大专,50-150人,4.5,1.5040773967762742,其他,民营公司,其他
2456,无工作经验,高中,少于50人,7.0,1.9459101490553128,合肥,民营公司,多元化业务集团公司
2457,2年经验,本科,500-1000人,12.5,2.525728644308256,深圳,民营公司,通信/电信运营、增值服务
2458,无工作经验,大专,150-500人,3.75,1.3217558399823195,其他,民营公司,其他
2459,无工作经验,大专,150-500人,7.0,1.9459101490553128,其他,民营公司,计算机服务(系统、数据服务、维修)
2460,无工作经验,无学历要求,50-150人,5.5,1.7047480922384253,其他,民营公司,多元化业务集团公司
2461,3-4年经验,本科,500-1000人,12.5,2.525728644308256,广州,合资,互联网/电子商务
2462,无工作经验,无学历要求,1000-5000人,7.0,1.9459101490553128,其他,民营公司,多元化业务集团公司
2463,无工作经验,大专,150-500人,2.5,0.9162907318741552,其他,民营公司,其他
2464,无工作经验,大专,1000-5000人,4.5,1.5040773967762742,其他,合资,多元化业务集团公司
2465,无工作经验,无学历要求,50-150人,5.0,1.6094379124341005,合肥,民营公司,其他
2466,无工作经验,大专,50-150人,3.75,1.3217558399823195,武汉,民营公司,专业服务(咨询、人力资源、财会)
2467,5-7年经验,本科,50-150人,20.0,2.9957322735539913,北京,民营公司,计算机服务(系统、数据服务、维修)
2468,3-4年经验,本科,1000-5000人,14.0,2.6390573296152584,其他,民营公司,服装/纺织/皮革
2469,3-4年经验,大专,500-1000人,5.25,1.6582280766035324,北京,民营公司,服装/纺织/皮革
2470,2年经验,硕士,50-150人,7.916666666666666,2.0689702418125404,其他,民营公司,其他
2471,1年经验,大专,5000-10000人,5.416666666666668,1.6894806201076369,其他,民营公司,其他
2472,无工作经验,无学历要求,少于50人,3.75,1.3217558399823195,广州,民营公司,其他
2473,无工作经验,大专,1000-5000人,8.0,2.079441541679836,其他,民营公司,多元化业务集团公司
2474,3-4年经验,大专,50-150人,5.25,1.6582280766035324,武汉,民营公司,服装/纺织/皮革
2475,无工作经验,无学历要求,50-150人,6.0,1.791759469228055,广州,民营公司,专业服务(咨询、人力资源、财会)
2476,无工作经验,本科,1000-5000人,9.0,2.19722457733622,其他,国企,其他
2477,3-4年经验,大专,1000-5000人,7.0,1.9459101490553128,武汉,上市公司,互联网/电子商务
2479,3-4年经验,本科,500-1000人,9.0,2.19722457733622,上海,外资企业,快速消费品(食品、饮料、化妆品)
2480,2年经验,本科,1000-5000人,12.5,2.525728644308256,合肥,外资企业,快速消费品(食品、饮料、化妆品)
2481,1年经验,本科,500-1000人,20.833333333333336,3.036554268074246,西安,国企,其他
2482,无工作经验,无学历要求,500-1000人,7.0,1.9459101490553128,杭州,民营公司,其他
2483,无工作经验,无学历要求,150-500人,12.5,2.525728644308256,杭州,民营公司,计算机软件
2484,无工作经验,无学历要求,10000人以上,10.0,2.302585092994046,其他,外资企业,多元化业务集团公司
2485,5-7年经验,大专,150-500人,7.0,1.9459101490553128,其他,民营公司,其他
2486,1年经验,本科,500-1000人,7.0,1.9459101490553128,其他,外资企业,其他
2487,无工作经验,无学历要求,50-150人,3.75,1.3217558399823195,广州,民营公司,互联网/电子商务
2488,无工作经验,大专,50-150人,11.0,2.3978952727983707,广州,民营公司,金融/投资/证券
2489,无工作经验,本科,少于50人,5.0,1.6094379124341005,北京,民营公司,其他
2490,无工作经验,大专,50-150人,2.75,1.01160091167848,西安,民营公司,互联网/电子商务
2491,1年经验,大专,50-150人,5.25,1.6582280766035324,其他,民营公司,服装/纺织/皮革
2492,1年经验,本科,50-150人,7.0,1.9459101490553128,深圳,民营公司,互联网/电子商务
2493,2年经验,本科,500-1000人,7.0,1.9459101490553128,上海,外资企业,其他
2494,无工作经验,无学历要求,1000-5000人,12.5,2.525728644308256,上海,外资企业,互联网/电子商务
2495,1年经验,本科,500-1000人,7.0,1.9459101490553128,北京,民营公司,互联网/电子商务
2496,2年经验,本科,1000-5000人,10.5,2.3513752571634776,北京,上市公司,计算机软件
2497,无工作经验,大专,50-150人,5.25,1.6582280766035324,西安,民营公司,计算机软件
2498,无工作经验,本科,50-150人,5.5,1.7047480922384253,上海,民营公司,互联网/电子商务
2499,2年经验,大专,150-500人,7.0,1.9459101490553128,上海,民营公司,专业服务(咨询、人力资源、财会)
2500,无工作经验,高中,50-150人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
2501,2年经验,大专,少于50人,15.0,2.7080502011022096,深圳,民营公司,其他
2502,5-7年经验,本科,少于50人,45.0,3.80666248977032,广州,民营公司,互联网/电子商务
2503,无工作经验,无学历要求,5000-10000人,6.0,1.791759469228055,上海,民营公司,教育/培训/院校
2504,无工作经验,本科,1000-5000人,7.0,1.9459101490553128,其他,上市公司,服装/纺织/皮革
2505,2年经验,本科,150-500人,11.5,2.4423470353692043,其他,民营公司,计算机软件
2506,无工作经验,无学历要求,150-500人,4.4,1.4816045409242156,武汉,民营公司,服装/纺织/皮革
2507,无工作经验,大专,150-500人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
2509,无工作经验,高中,150-500人,9.0,2.19722457733622,广州,民营公司,金融/投资/证券
2510,3-4年经验,本科,50-150人,9.5,2.2512917986064958,上海,外资企业,计算机软件
2511,无工作经验,无学历要求,150-500人,5.25,1.6582280766035324,广州,民营公司,服装/纺织/皮革
2512,无工作经验,大专,50-150人,7.0,1.9459101490553128,南京,民营公司,互联网/电子商务
2513,3-4年经验,大专,500-1000人,12.5,2.525728644308256,上海,外资企业,服装/纺织/皮革
2514,无工作经验,无学历要求,500-1000人,8.0,2.079441541679836,北京,民营公司,服装/纺织/皮革
2515,2年经验,本科,150-500人,10.416666666666668,2.3434070875143007,成都,国企,其他
2516,无工作经验,大专,50-150人,5.25,1.6582280766035324,深圳,民营公司,互联网/电子商务
2517,无工作经验,无学历要求,500-1000人,3.75,1.3217558399823195,其他,民营公司,服装/纺织/皮革
2518,3-4年经验,本科,150-500人,15.0,2.7080502011022096,广州,民营公司,计算机软件
2519,2年经验,本科,1000-5000人,7.0,1.9459101490553128,广州,民营公司,其他
2520,5-7年经验,本科,500-1000人,20.0,2.9957322735539913,上海,合资,其他
2521,无工作经验,大专,50-150人,5.25,1.6582280766035324,武汉,民营公司,互联网/电子商务
2522,无工作经验,无学历要求,50-150人,5.25,1.6582280766035324,南京,民营公司,互联网/电子商务
2523,2年经验,本科,150-500人,12.5,2.525728644308256,南京,民营公司,计算机软件
2524,1年经验,本科,10000人以上,9.0,2.19722457733622,深圳,上市公司,互联网/电子商务
2525,2年经验,本科,500-1000人,11.0,2.3978952727983707,上海,民营公司,计算机软件
2526,1年经验,本科,150-500人,12.5,2.525728644308256,其他,外资企业,计算机软件
2527,2年经验,本科,1000-5000人,12.5,2.525728644308256,武汉,合资,计算机软件
2528,1年经验,本科,50-150人,15.0,2.7080502011022096,上海,民营公司,其他
2529,5-7年经验,本科,150-500人,12.5,2.525728644308256,上海,外资企业,专业服务(咨询、人力资源、财会)
2530,无工作经验,无学历要求,50-150人,5.25,1.6582280766035324,广州,民营公司,其他
2531,无工作经验,大专,500-1000人,3.75,1.3217558399823195,其他,民营公司,其他
2532,2年经验,本科,少于50人,5.25,1.6582280766035324,武汉,民营公司,互联网/电子商务
2533,1年经验,大专,50-150人,5.5,1.7047480922384253,上海,民营公司,通信/电信运营、增值服务
2534,2年经验,本科,50-150人,6.5,1.8718021769015916,上海,外资企业,其他
2535,3-4年经验,本科,50-150人,9.0,2.19722457733622,南京,民营公司,其他
2536,无工作经验,无学历要求,10000人以上,7.0,1.9459101490553128,上海,民营公司,快速消费品(食品、饮料、化妆品)
2537,无工作经验,大专,少于50人,4.65,1.5368672195992648,其他,民营公司,计算机服务(系统、数据服务、维修)
2538,5-7年经验,硕士,500-1000人,27.5,3.3141860046725258,合肥,民营公司,其他
2539,1年经验,大专,150-500人,5.5,1.7047480922384253,其他,上市公司,计算机软件
2540,1年经验,大专,500-1000人,6.5,1.8718021769015916,广州,民营公司,服装/纺织/皮革
2541,无工作经验,大专,150-500人,5.25,1.6582280766035324,其他,民营公司,计算机软件
2542,1年经验,大专,150-500人,5.5,1.7047480922384253,其他,上市公司,计算机软件
2543,1年经验,大专,500-1000人,6.5,1.8718021769015916,广州,民营公司,服装/纺织/皮革
2544,无工作经验,大专,150-500人,5.25,1.6582280766035324,其他,民营公司,计算机软件
2545,3-4年经验,大专,150-500人,7.0,1.9459101490553128,广州,民营公司,计算机软件
2546,无工作经验,大专,1000-5000人,5.0,1.6094379124341005,其他,民营公司,其他
2547,无工作经验,硕士,少于50人,17.5,2.862200880929469,上海,民营公司,计算机软件
2548,3-4年经验,本科,50-150人,5.25,1.6582280766035324,武汉,民营公司,其他
2549,3-4年经验,本科,1000-5000人,5.25,1.6582280766035324,上海,民营公司,其他
2550,无工作经验,本科,1000-5000人,10.0,2.302585092994046,深圳,民营公司,其他
2551,无工作经验,大专,少于50人,5.25,1.6582280766035324,合肥,民营公司,专业服务(咨询、人力资源、财会)
2552,1年经验,本科,50-150人,10.0,2.302585092994046,上海,民营公司,计算机软件
2553,无工作经验,无学历要求,50-150人,5.25,1.6582280766035324,广州,民营公司,互联网/电子商务
2554,无工作经验,硕士,500-1000人,9.0,2.19722457733622,北京,国企,计算机软件
2555,2年经验,大专,1000-5000人,12.5,2.525728644308256,合肥,民营公司,互联网/电子商务
2556,1年经验,大专,50-150人,3.0,1.0986122886681098,其他,民营公司,计算机软件
2557,1年经验,大专,少于50人,3.75,1.3217558399823195,成都,民营公司,互联网/电子商务
2558,1年经验,本科,10000人以上,10.0,2.302585092994046,其他,国企,其他
2559,无工作经验,本科,少于50人,4.0,1.3862943611198906,其他,民营公司,计算机软件
2560,5-7年经验,本科,50-150人,15.0,2.7080502011022096,广州,上市公司,计算机软件
2561,1年经验,大专,500-1000人,3.75,1.3217558399823195,其他,民营公司,快速消费品(食品、饮料、化妆品)
2562,2年经验,本科,150-500人,7.0,1.9459101490553128,上海,民营公司,其他
2563,2年经验,大专,500-1000人,6.5,1.8718021769015916,广州,民营公司,服装/纺织/皮革
2564,2年经验,大专,1000-5000人,4.0,1.3862943611198906,其他,民营公司,通信/电信运营、增值服务
2565,1年经验,大专,1000-5000人,7.5,2.0149030205422647,广州,上市公司,计算机软件
2566,无工作经验,高中,150-500人,12.5,2.525728644308256,广州,民营公司,金融/投资/证券
2567,1年经验,大专,150-500人,5.75,1.749199854809259,南京,民营公司,其他
2568,无工作经验,无学历要求,150-500人,3.75,1.3217558399823195,其他,合资,其他
2569,3-4年经验,本科,50-150人,22.5,3.1135153092103742,广州,民营公司,计算机服务(系统、数据服务、维修)
2570,无工作经验,大专,少于50人,8.0,2.079441541679836,其他,民营公司,教育/培训/院校
2571,无工作经验,大专,150-500人,7.0,1.9459101490553128,广州,民营公司,专业服务(咨询、人力资源、财会)
2572,1年经验,无学历要求,少于50人,5.0,1.6094379124341005,其他,民营公司,服装/纺织/皮革
2573,5-7年经验,本科,50-150人,25.0,3.218875824868201,深圳,民营公司,计算机软件
2574,3-4年经验,硕士,10000人以上,17.5,2.862200880929469,武汉,国企,计算机软件
2575,3-4年经验,本科,50-150人,22.5,3.1135153092103742,上海,民营公司,其他
2576,1年经验,大专,500-1000人,7.0,1.9459101490553128,广州,民营公司,服装/纺织/皮革
2577,无工作经验,无学历要求,500-1000人,5.833333333333334,1.7635885922613588,杭州,民营公司,其他
2578,2年经验,大专,150-500人,4.25,1.4469189829363254,广州,民营公司,服装/纺织/皮革
2579,2年经验,本科,50-150人,5.75,1.749199854809259,武汉,民营公司,其他
2580,2年经验,大专,50-150人,12.5,2.525728644308256,上海,外资企业,其他
2581,2年经验,大专,50-150人,7.0,1.9459101490553128,杭州,民营公司,互联网/电子商务
2582,1年经验,本科,150-500人,7.0,1.9459101490553128,广州,民营公司,其他
2583,1年经验,本科,500-1000人,5.25,1.6582280766035324,合肥,国企,其他
2584,2年经验,大专,150-500人,10.0,2.302585092994046,北京,上市公司,其他
2585,无工作经验,大专,1000-5000人,4.25,1.4469189829363254,武汉,民营公司,服装/纺织/皮革
2586,2年经验,本科,150-500人,11.5,2.4423470353692043,广州,民营公司,计算机软件
2587,2年经验,本科,1000-5000人,9.0,2.19722457733622,上海,外资企业,快速消费品(食品、饮料、化妆品)
2588,1年经验,本科,50-150人,6.0,1.791759469228055,广州,民营公司,计算机软件
2589,3-4年经验,大专,150-500人,6.666666666666668,1.8971199848858813,广州,民营公司,互联网/电子商务
2590,1年经验,大专,1000-5000人,5.5,1.7047480922384253,其他,外资企业,服装/纺织/皮革
2591,1年经验,大专,少于50人,3.75,1.3217558399823195,其他,民营公司,专业服务(咨询、人力资源、财会)
2592,1年经验,大专,1000-5000人,5.25,1.6582280766035324,广州,外资企业,计算机服务(系统、数据服务、维修)
2593,3-4年经验,大专,1000-5000人,5.5,1.7047480922384253,其他,上市公司,其他
2594,无工作经验,无学历要求,少于50人,2.5,0.9162907318741552,其他,民营公司,其他
2595,3-4年经验,本科,50-150人,31.0,3.4339872044851463,深圳,民营公司,计算机软件
2596,无工作经验,本科,少于50人,6.0,1.791759469228055,其他,民营公司,专业服务(咨询、人力资源、财会)
2597,无工作经验,本科,150-500人,9.0,2.19722457733622,广州,民营公司,计算机软件
2598,1年经验,大专,1000-5000人,7.0,1.9459101490553128,其他,外资企业,互联网/电子商务
2599,无工作经验,中专,少于50人,5.25,1.6582280766035324,合肥,民营公司,互联网/电子商务
2600,无工作经验,无学历要求,50-150人,5.25,1.6582280766035324,武汉,民营公司,专业服务(咨询、人力资源、财会)
2601,无工作经验,大专,500-1000人,5.25,1.6582280766035324,武汉,民营公司,专业服务(咨询、人力资源、财会)
2602,无工作经验,无学历要求,50-150人,7.0,1.9459101490553128,广州,合资,金融/投资/证券
2603,1年经验,本科,1000-5000人,4.5,1.5040773967762742,其他,合资,金融/投资/证券
2604,无工作经验,无学历要求,150-500人,9.0,2.19722457733622,广州,民营公司,其他
2605,无工作经验,中专,150-500人,12.5,2.525728644308256,武汉,合资,金融/投资/证券
2606,1年经验,中专,150-500人,5.25,1.6582280766035324,其他,民营公司,其他
2607,无工作经验,无学历要求,150-500人,10.0,2.302585092994046,广州,民营公司,其他
2608,2年经验,大专,50-150人,15.0,2.7080502011022096,上海,民营公司,计算机软件
2609,无工作经验,高中,50-150人,6.0,1.791759469228055,深圳,民营公司,互联网/电子商务
2610,无工作经验,本科,500-1000人,3.75,1.3217558399823195,其他,民营公司,服装/纺织/皮革
2611,1年经验,本科,150-500人,9.0,2.19722457733622,深圳,民营公司,其他
2612,无工作经验,本科,少于50人,5.0,1.6094379124341005,深圳,民营公司,互联网/电子商务
2613,5-7年经验,本科,150-500人,14.583333333333336,2.6798793241355137,上海,外资企业,多元化业务集团公司
2614,2年经验,本科,150-500人,12.5,2.525728644308256,上海,外资企业,专业服务(咨询、人力资源、财会)
2615,5-7年经验,本科,150-500人,22.5,3.1135153092103742,广州,上市公司,计算机软件
2616,5-7年经验,本科,500-1000人,7.5,2.0149030205422647,广州,外资企业,其他
2617,无工作经验,本科,150-500人,11.5,2.4423470353692043,北京,民营公司,互联网/电子商务
2618,3-4年经验,硕士,50-150人,8.5,2.1400661634962708,其他,民营公司,其他
2619,无工作经验,大专,50-150人,5.25,1.6582280766035324,广州,民营公司,其他
2620,5-7年经验,本科,150-500人,4.5,1.5040773967762742,其他,民营公司,快速消费品(食品、饮料、化妆品)
2621,无工作经验,本科,50-150人,5.25,1.6582280766035324,北京,国企,专业服务(咨询、人力资源、财会)
2622,无工作经验,大专,10000人以上,4.199999999999998,1.4350845252893225,广州,民营公司,其他
2623,3-4年经验,大专,1000-5000人,5.25,1.6582280766035324,上海,外资企业,其他
2624,1年经验,大专,150-500人,7.0,1.9459101490553128,上海,民营公司,其他
2625,3-4年经验,本科,500-1000人,18.5,2.917770732084279,北京,外资企业,互联网/电子商务
2626,2年经验,中专,少于50人,12.5,2.525728644308256,其他,民营公司,专业服务(咨询、人力资源、财会)
2627,无工作经验,大专,1000-5000人,3.75,1.3217558399823195,其他,外资企业,快速消费品(食品、饮料、化妆品)
2628,无工作经验,本科,1000-5000人,5.25,1.6582280766035324,北京,国企,其他
2629,1年经验,无学历要求,1000-5000人,7.0,1.9459101490553128,其他,民营公司,服装/纺织/皮革
2630,1年经验,大专,1000-5000人,3.75,1.3217558399823195,其他,外资企业,其他
2631,无工作经验,无学历要求,500-1000人,9.0,2.19722457733622,武汉,上市公司,其他
2632,无工作经验,中专,50-150人,3.0,1.0986122886681098,西安,民营公司,计算机软件
2633,无工作经验,硕士,1000-5000人,9.0,2.19722457733622,其他,合资,金融/投资/证券
2634,5-7年经验,硕士,50-150人,17.5,2.862200880929469,上海,民营公司,其他
2635,无工作经验,本科,150-500人,9.0,2.19722457733622,其他,民营公司,计算机软件
2636,无工作经验,大专,50-150人,5.0,1.6094379124341005,广州,民营公司,金融/投资/证券
2637,2年经验,大专,150-500人,7.0,1.9459101490553128,广州,民营公司,服装/纺织/皮革
2638,1年经验,大专,500-1000人,6.0,1.791759469228055,杭州,民营公司,服装/纺织/皮革
2639,无工作经验,无学历要求,150-500人,3.0,1.0986122886681098,武汉,民营公司,互联网/电子商务
2640,3-4年经验,本科,150-500人,22.5,3.1135153092103742,上海,合资,计算机软件
2641,无工作经验,无学历要求,50-150人,22.5,3.1135153092103742,上海,民营公司,专业服务(咨询、人力资源、财会)
2642,无工作经验,大专,150-500人,4.25,1.4469189829363254,深圳,民营公司,其他
2643,无工作经验,本科,150-500人,5.5,1.7047480922384253,上海,民营公司,其他
2644,无工作经验,大专,50-150人,17.5,2.862200880929469,广州,合资,金融/投资/证券
2645,1年经验,大专,150-500人,10.0,2.302585092994046,其他,民营公司,计算机软件
2646,3-4年经验,大专,500-1000人,17.5,2.862200880929469,杭州,民营公司,计算机软件
2647,2年经验,本科,1000-5000人,6.666666666666668,1.8971199848858813,上海,上市公司,其他
2648,1年经验,大专,150-500人,5.0,1.6094379124341005,广州,民营公司,其他
2649,2年经验,本科,1000-5000人,8.5,2.1400661634962708,其他,外资企业,其他
2650,无工作经验,中专,50-150人,7.0,1.9459101490553128,合肥,民营公司,通信/电信运营、增值服务
2651,1年经验,本科,1000-5000人,6.0,1.791759469228055,上海,民营公司,其他
2652,2年经验,本科,150-500人,9.0,2.19722457733622,上海,国企,金融/投资/证券
2653,2年经验,本科,1000-5000人,9.0,2.19722457733622,其他,民营公司,服装/纺织/皮革
2654,无工作经验,大专,50-150人,5.25,1.6582280766035324,其他,民营公司,其他
2655,无工作经验,无学历要求,50-150人,3.75,1.3217558399823195,其他,民营公司,计算机软件
2656,3-4年经验,无学历要求,150-500人,5.25,1.6582280766035324,上海,合资,其他
2657,1年经验,本科,500-1000人,5.0,1.6094379124341005,深圳,民营公司,教育/培训/院校
2658,3-4年经验,本科,150-500人,9.0,2.19722457733622,广州,民营公司,互联网/电子商务
2659,1年经验,本科,10000人以上,12.5,2.525728644308256,其他,外资企业,计算机软件
2660,1年经验,大专,1000-5000人,5.25,1.6582280766035324,上海,民营公司,金融/投资/证券
2661,无工作经验,硕士,1000-5000人,4.0,1.3862943611198906,杭州,民营公司,计算机软件
2662,1年经验,本科,1000-5000人,3.5,1.2527629684953678,其他,民营公司,其他
2663,无工作经验,大专,1000-5000人,5.25,1.6582280766035324,其他,民营公司,其他
2664,1年经验,本科,500-1000人,5.25,1.6582280766035324,其他,外资企业,金融/投资/证券
2665,1年经验,本科,5000-10000人,6.5,1.8718021769015916,深圳,民营公司,其他
2666,1年经验,本科,500-1000人,15.0,2.7080502011022096,杭州,民营公司,其他
2667,无工作经验,硕士,1000-5000人,8.0,2.079441541679836,其他,上市公司,其他
2668,无工作经验,大专,50-150人,3.75,1.3217558399823195,其他,民营公司,互联网/电子商务
2669,2年经验,大专,50-150人,11.5,2.4423470353692043,广州,民营公司,计算机软件
2670,1年经验,大专,500-1000人,5.25,1.6582280766035324,北京,合资,服装/纺织/皮革
2671,无工作经验,大专,500-1000人,9.0,2.19722457733622,其他,民营公司,金融/投资/证券
2672,无工作经验,无学历要求,1000-5000人,7.0,1.9459101490553128,合肥,民营公司,互联网/电子商务
2673,3-4年经验,本科,500-1000人,15.0,2.7080502011022096,深圳,民营公司,其他
2674,无工作经验,无学历要求,150-500人,6.5,1.8718021769015916,深圳,民营公司,多元化业务集团公司
2675,3-4年经验,本科,50-150人,10.0,2.302585092994046,上海,民营公司,互联网/电子商务
2676,无工作经验,无学历要求,5000-10000人,4.4,1.4816045409242156,杭州,民营公司,互联网/电子商务
2677,3-4年经验,本科,50-150人,30.0,3.4011973816621555,杭州,民营公司,计算机服务(系统、数据服务、维修)
2678,无工作经验,无学历要求,50-150人,5.25,1.6582280766035324,其他,民营公司,计算机软件
2679,1年经验,大专,1000-5000人,5.25,1.6582280766035324,北京,民营公司,其他
2680,1年经验,大专,150-500人,5.25,1.6582280766035324,其他,上市公司,其他
2681,2年经验,大专,50-150人,8.0,2.079441541679836,杭州,民营公司,互联网/电子商务
2682,无工作经验,本科,50-150人,6.5,1.8718021769015916,广州,民营公司,专业服务(咨询、人力资源、财会)
2683,无工作经验,无学历要求,少于50人,2.5,0.9162907318741552,上海,外资企业,其他
2684,3-4年经验,本科,150-500人,12.0,2.4849066497880004,北京,民营公司,其他
2685,无工作经验,无学历要求,1000-5000人,7.0,1.9459101490553128,广州,民营公司,服装/纺织/皮革
2686,无工作经验,高中,500-1000人,7.0,1.9459101490553128,成都,上市公司,专业服务(咨询、人力资源、财会)
2687,无工作经验,无学历要求,150-500人,4.25,1.4469189829363254,武汉,民营公司,多元化业务集团公司
2688,无工作经验,无学历要求,50-150人,7.5,2.0149030205422647,广州,创业公司,其他
2689,无工作经验,大专,500-1000人,3.75,1.3217558399823195,深圳,外资企业,其他
2690,3-4年经验,本科,50-150人,14.583333333333336,2.6798793241355137,深圳,民营公司,金融/投资/证券
2691,无工作经验,大专,1000-5000人,6.5,1.8718021769015916,南京,民营公司,其他
2692,3-4年经验,本科,少于50人,22.5,3.1135153092103742,杭州,民营公司,互联网/电子商务
2693,无工作经验,本科,150-500人,7.0,1.9459101490553128,杭州,民营公司,其他
2694,无工作经验,大专,50-150人,4.25,1.4469189829363254,深圳,民营公司,互联网/电子商务
2695,无工作经验,无学历要求,150-500人,7.5,2.0149030205422647,其他,民营公司,互联网/电子商务
2696,无工作经验,无学历要求,150-500人,5.25,1.6582280766035324,其他,民营公司,其他
2697,3-4年经验,本科,50-150人,10.0,2.302585092994046,上海,外资企业,其他
2698,3-4年经验,本科,50-150人,7.5,2.0149030205422647,北京,民营公司,互联网/电子商务
2699,无工作经验,大专,5000-10000人,6.5,1.8718021769015916,广州,民营公司,服装/纺织/皮革
2700,1年经验,本科,10000人以上,9.0,2.19722457733622,深圳,民营公司,计算机软件
2701,1年经验,本科,500-1000人,9.0,2.19722457733622,其他,外资企业,专业服务(咨询、人力资源、财会)
2702,无工作经验,无学历要求,5000-10000人,9.166666666666666,2.215573716004416,广州,国企,通信/电信运营、增值服务
2703,1年经验,大专,150-500人,5.25,1.6582280766035324,广州,民营公司,金融/投资/证券
2704,无工作经验,中专,50-150人,6.25,1.8325814637483104,合肥,民营公司,金融/投资/证券
2705,1年经验,大专,5000-10000人,7.0,1.9459101490553128,其他,上市公司,教育/培训/院校
2706,无工作经验,高中,50-150人,6.0,1.791759469228055,合肥,民营公司,计算机软件
2707,无工作经验,大专,10000人以上,7.0,1.9459101490553128,其他,民营公司,金融/投资/证券
2708,2年经验,本科,5000-10000人,5.833333333333334,1.7635885922613588,武汉,民营公司,快速消费品(食品、饮料、化妆品)
2709,2年经验,本科,少于50人,12.5,2.525728644308256,上海,外资企业,专业服务(咨询、人力资源、财会)
2710,5-7年经验,本科,50-150人,15.0,2.7080502011022096,深圳,民营公司,互联网/电子商务
2711,无工作经验,本科,500-1000人,5.25,1.6582280766035324,广州,国企,计算机软件
2712,2年经验,大专,500-1000人,7.5,2.0149030205422647,杭州,民营公司,服装/纺织/皮革
2713,无工作经验,大专,150-500人,5.0,1.6094379124341005,成都,民营公司,其他
2714,无工作经验,中专,少于50人,5.25,1.6582280766035324,合肥,民营公司,专业服务(咨询、人力资源、财会)
2715,1年经验,本科,500-1000人,5.25,1.6582280766035324,其他,民营公司,服装/纺织/皮革
2716,无工作经验,无学历要求,1000-5000人,5.0,1.6094379124341005,其他,民营公司,其他
2717,无工作经验,本科,少于50人,3.75,1.3217558399823195,其他,上市公司,服装/纺织/皮革
2718,无工作经验,本科,500-1000人,6.0,1.791759469228055,合肥,民营公司,互联网/电子商务
2719,1年经验,大专,150-500人,6.0,1.791759469228055,上海,国企,其他
2720,无工作经验,无学历要求,1000-5000人,9.0,2.19722457733622,其他,民营公司,其他
2721,1年经验,本科,1000-5000人,11.5,2.4423470353692043,杭州,民营公司,其他
2722,2年经验,大专,1000-5000人,5.0,1.6094379124341005,成都,民营公司,其他
2723,无工作经验,中专,150-500人,7.0,1.9459101490553128,成都,民营公司,计算机软件
2724,无工作经验,本科,50-150人,5.0,1.6094379124341005,其他,国企,计算机服务(系统、数据服务、维修)
2725,无工作经验,无学历要求,150-500人,5.25,1.6582280766035324,成都,民营公司,专业服务(咨询、人力资源、财会)
