,exp,edu,scale,avgsalary,lnsalary,city,type,industry,indu1
1690,3-4年经验,本科,500-1000人,17.5,2.862200880929469,上海,外资企业,计算机软件,计算机软件
1691,2年经验,本科,150-500人,15.0,2.7080502011022096,杭州,民营公司,互联网/电子商务,互联网/电子商务
1692,3-4年经验,本科,150-500人,10.0,2.302585092994046,成都,民营公司,其他,其他
1693,3-4年经验,本科,150-500人,7.5,2.0149030205422647,西安,民营公司,其他,其他
1694,2年经验,本科,5000-10000人,12.5,2.525728644308256,北京,民营公司,教育/培训/院校,其他
1695,1年经验,大专,50-150人,6.0,1.791759469228055,南京,民营公司,其他,其他
1696,3-4年经验,本科,500-1000人,17.5,2.862200880929469,北京,外资企业,计算机软件,计算机软件
1697,无工作经验,大专,50-150人,9.0,2.19722457733622,广州,民营公司,金融/投资/证券,金融/投资/证券
1698,无工作经验,无学历要求,1000-5000人,22.5,3.1135153092103742,北京,民营公司,互联网/电子商务,互联网/电子商务
1699,1年经验,大专,500-1000人,5.0,1.6094379124341005,南京,民营公司,计算机软件,计算机软件
1700,1年经验,本科,150-500人,8.0,2.079441541679836,北京,外资企业,计算机服务(系统、数据服务、维修),计算机服务(系统、数据服务、维修)
1701,无工作经验,中专,150-500人,9.0,2.19722457733622,广州,民营公司,金融/投资/证券,金融/投资/证券
1702,3-4年经验,本科,150-500人,22.5,3.1135153092103742,北京,上市公司,其他,其他
1703,无工作经验,大专,50-150人,7.5,2.0149030205422647,广州,民营公司,金融/投资/证券,金融/投资/证券
1704,3-4年经验,本科,50-150人,22.5,3.1135153092103742,深圳,民营公司,金融/投资/证券,金融/投资/证券
1705,3-4年经验,大专,5000-10000人,18.5,2.917770732084279,其他,上市公司,其他,其他
1706,2年经验,硕士,500-1000人,7.0,1.9459101490553128,其他,民营公司,教育/培训/院校,其他
1707,5年以上工作经验,本科,500-1000人,17.5,2.862200880929469,其他,上市公司,其他,其他
1708,1年经验,大专,150-500人,9.0,2.19722457733622,广州,民营公司,快速消费品(食品、饮料、化妆品),其他
1709,3-4年经验,本科,150-500人,10.0,2.302585092994046,上海,上市公司,其他,其他
1710,1年经验,大专,50-150人,6.5,1.8718021769015916,广州,民营公司,互联网/电子商务,互联网/电子商务
1711,3-4年经验,硕士,1000-5000人,29.16666666666667,3.373026504695459,深圳,合资,金融/投资/证券,金融/投资/证券
1712,无工作经验,大专,50-150人,5.25,1.6582280766035324,深圳,民营公司,互联网/电子商务,互联网/电子商务
1713,1年经验,中专,150-500人,9.0,2.19722457733622,广州,民营公司,金融/投资/证券,金融/投资/证券
1714,无工作经验,无学历要求,150-500人,5.25,1.6582280766035324,广州,合资,金融/投资/证券,金融/投资/证券
1715,3-4年经验,本科,150-500人,11.5,2.4423470353692043,北京,民营公司,其他,其他
1716,无工作经验,大专,50-150人,12.5,2.525728644308256,广州,民营公司,金融/投资/证券,金融/投资/证券
1717,1年经验,本科,50-150人,8.5,2.1400661634962708,广州,民营公司,金融/投资/证券,金融/投资/证券
1718,无工作经验,无学历要求,150-500人,7.0,1.9459101490553128,广州,合资,专业服务(咨询、人力资源、财会),专业服务(咨询、人力资源、财会)
1719,无工作经验,本科,50-150人,8.5,2.1400661634962708,深圳,民营公司,互联网/电子商务,互联网/电子商务
1720,无工作经验,无学历要求,150-500人,17.5,2.862200880929469,北京,民营公司,计算机软件,计算机软件
1721,5年以上工作经验,本科,50-150人,17.5,2.862200880929469,广州,外资企业,计算机软件,计算机软件
1722,无工作经验,本科,50-150人,13.333333333333336,2.5902671654458267,上海,民营公司,互联网/电子商务,互联网/电子商务
1723,5年以上工作经验,大专,150-500人,15.0,2.7080502011022096,其他,民营公司,计算机软件,计算机软件
1724,无工作经验,无学历要求,少于50人,6.5,1.8718021769015916,深圳,民营公司,其他,其他
1725,无工作经验,无学历要求,5000-10000人,5.25,1.6582280766035324,其他,民营公司,其他,其他
1726,无工作经验,大专,150-500人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券,金融/投资/证券
1727,无工作经验,本科,少于50人,7.5,2.0149030205422647,北京,民营公司,互联网/电子商务,互联网/电子商务
1728,5年以上工作经验,大专,少于50人,20.0,2.9957322735539913,上海,民营公司,互联网/电子商务,互联网/电子商务
1729,2年经验,本科,5000-10000人,17.0,2.8332133440562166,深圳,合资,金融/投资/证券,金融/投资/证券
1730,3-4年经验,本科,150-500人,15.0,2.7080502011022096,上海,创业公司,互联网/电子商务,互联网/电子商务
1731,3-4年经验,大专,150-500人,12.5,2.525728644308256,上海,民营公司,通信/电信运营、增值服务,其他
1732,无工作经验,大专,50-150人,8.0,2.079441541679836,广州,民营公司,金融/投资/证券,金融/投资/证券
1733,无工作经验,本科,1000-5000人,30.0,3.4011973816621555,上海,民营公司,互联网/电子商务,互联网/电子商务
1734,无工作经验,高中,50-150人,9.0,2.19722457733622,广州,民营公司,金融/投资/证券,金融/投资/证券
1735,2年经验,大专,150-500人,7.0,1.9459101490553128,上海,合资,服装/纺织/皮革,服装/纺织/皮革
1736,无工作经验,中专,150-500人,12.5,2.525728644308256,广州,民营公司,金融/投资/证券,金融/投资/证券
1737,3-4年经验,硕士,150-500人,11.5,2.4423470353692043,北京,民营公司,其他,其他
1738,3-4年经验,本科,500-1000人,20.0,2.9957322735539913,杭州,民营公司,互联网/电子商务,互联网/电子商务
1739,1年经验,大专,50-150人,9.0,2.19722457733622,深圳,民营公司,金融/投资/证券,金融/投资/证券
1740,5年以上工作经验,本科,1000-5000人,17.5,2.862200880929469,其他,民营公司,计算机软件,计算机软件
1741,无工作经验,无学历要求,50-150人,6.25,1.8325814637483104,其他,民营公司,快速消费品(食品、饮料、化妆品),其他
1742,2年经验,本科,10000人以上,17.5,2.862200880929469,深圳,合资,其他,其他
1743,3-4年经验,本科,10000人以上,12.5,2.525728644308256,北京,上市公司,互联网/电子商务,互联网/电子商务
1744,无工作经验,无学历要求,50-150人,9.0,2.19722457733622,其他,民营公司,金融/投资/证券,金融/投资/证券
1745,无工作经验,大专,150-500人,7.0,1.9459101490553128,广州,外资企业,金融/投资/证券,金融/投资/证券
1746,2年经验,大专,50-150人,5.25,1.6582280766035324,其他,民营公司,服装/纺织/皮革,服装/纺织/皮革
1747,2年经验,本科,5000-10000人,17.5,2.862200880929469,上海,民营公司,其他,其他
1748,5年以上工作经验,本科,150-500人,17.5,2.862200880929469,杭州,民营公司,金融/投资/证券,金融/投资/证券
1749,2年经验,大专,50-150人,10.0,2.302585092994046,上海,民营公司,多元化业务集团公司,其他
1750,3-4年经验,本科,50-150人,17.5,2.862200880929469,广州,上市公司,其他,其他
1751,无工作经验,本科,50-150人,7.5,2.0149030205422647,上海,民营公司,计算机软件,计算机软件
1752,1年经验,本科,少于50人,14.0,2.6390573296152584,上海,外资企业,金融/投资/证券,金融/投资/证券
1753,无工作经验,本科,少于50人,9.0,2.19722457733622,上海,民营公司,其他,其他
1754,无工作经验,本科,500-1000人,5.0,1.6094379124341005,其他,民营公司,其他,其他
1755,无工作经验,本科,50-150人,6.5,1.8718021769015916,北京,民营公司,教育/培训/院校,其他
1756,无工作经验,无学历要求,150-500人,5.75,1.749199854809259,其他,民营公司,其他,其他
1757,无工作经验,无学历要求,少于50人,9.5,2.2512917986064958,上海,创业公司,计算机服务(系统、数据服务、维修),计算机服务(系统、数据服务、维修)
1758,1年经验,本科,500-1000人,6.0,1.791759469228055,武汉,民营公司,互联网/电子商务,互联网/电子商务
1759,5年以上工作经验,大专,50-150人,7.0,1.9459101490553128,成都,民营公司,计算机软件,计算机软件
1760,1年经验,中专,150-500人,5.25,1.6582280766035324,北京,民营公司,快速消费品(食品、饮料、化妆品),其他
1761,2年经验,硕士,500-1000人,11.5,2.4423470353692043,杭州,民营公司,计算机软件,计算机软件
1762,5年以上工作经验,本科,50-150人,19.5,2.9704144655697013,上海,合资,专业服务(咨询、人力资源、财会),专业服务(咨询、人力资源、财会)
1763,1年经验,本科,50-150人,5.25,1.6582280766035324,深圳,外资企业,其他,其他
1764,无工作经验,无学历要求,1000-5000人,9.0,2.19722457733622,其他,民营公司,其他,其他
1765,无工作经验,无学历要求,5000-10000人,35.0,3.555348061489413,深圳,民营公司,金融/投资/证券,金融/投资/证券
1766,3-4年经验,本科,500-1000人,17.5,2.862200880929469,北京,外资企业,其他,其他
1767,3-4年经验,本科,150-500人,20.0,2.9957322735539913,上海,民营公司,互联网/电子商务,互联网/电子商务
1768,2年经验,本科,150-500人,15.0,2.7080502011022096,深圳,民营公司,互联网/电子商务,互联网/电子商务
1769,1年经验,本科,50-150人,14.0,2.6390573296152584,上海,民营公司,计算机软件,计算机软件
1770,2年经验,本科,少于50人,12.0,2.4849066497880004,北京,民营公司,专业服务(咨询、人力资源、财会),专业服务(咨询、人力资源、财会)
1771,无工作经验,本科,10000人以上,12.5,2.525728644308256,北京,外资企业,其他,其他
1772,无工作经验,本科,150-500人,8.5,2.1400661634962708,上海,外资企业,计算机软件,计算机软件
1773,1年经验,本科,少于50人,12.5,2.525728644308256,北京,创业公司,互联网/电子商务,互联网/电子商务
1774,无工作经验,无学历要求,500-1000人,22.5,3.1135153092103742,其他,民营公司,互联网/电子商务,互联网/电子商务
1775,无工作经验,无学历要求,50-150人,5.5,1.7047480922384253,其他,民营公司,其他,其他
1776,无工作经验,硕士,50-150人,11.5,2.4423470353692043,其他,创业公司,其他,其他
1777,无工作经验,无学历要求,50-150人,12.5,2.525728644308256,广州,国企,其他,其他
1778,3-4年经验,本科,150-500人,11.5,2.4423470353692043,杭州,民营公司,计算机软件,计算机软件
1779,3-4年经验,中专,少于50人,7.0,1.9459101490553128,广州,民营公司,计算机软件,计算机软件
1780,3-4年经验,本科,50-150人,15.5,2.7408400239252013,深圳,民营公司,计算机软件,计算机软件
1781,无工作经验,中专,50-150人,3.0,1.0986122886681098,其他,民营公司,服装/纺织/皮革,服装/纺织/皮革
1782,无工作经验,无学历要求,50-150人,17.5,2.862200880929469,广州,民营公司,其他,其他
1783,2年经验,硕士,150-500人,9.5,2.2512917986064958,武汉,上市公司,其他,其他
1784,无工作经验,大专,500-1000人,6.0,1.791759469228055,南京,上市公司,其他,其他
1785,3-4年经验,大专,50-150人,9.0,2.19722457733622,南京,民营公司,计算机软件,计算机软件
1786,2年经验,本科,50-150人,17.5,2.862200880929469,北京,国企,互联网/电子商务,互联网/电子商务
1787,1年经验,本科,10000人以上,10.5,2.3513752571634776,上海,外资企业,快速消费品(食品、饮料、化妆品),其他
1788,无工作经验,本科,少于50人,6.5,1.8718021769015916,北京,民营公司,专业服务(咨询、人力资源、财会),专业服务(咨询、人力资源、财会)
1789,2年经验,本科,150-500人,17.5,2.862200880929469,上海,民营公司,金融/投资/证券,金融/投资/证券
1790,2年经验,本科,50-150人,7.0,1.9459101490553128,其他,民营公司,教育/培训/院校,其他
1791,无工作经验,本科,50-150人,14.0,2.6390573296152584,上海,外资企业,其他,其他
1792,2年经验,本科,150-500人,12.5,2.525728644308256,上海,民营公司,互联网/电子商务,互联网/电子商务
1793,2年经验,本科,50-150人,15.5,2.7408400239252013,杭州,民营公司,金融/投资/证券,金融/投资/证券
1794,2年经验,本科,50-150人,7.0,1.9459101490553128,成都,民营公司,互联网/电子商务,互联网/电子商务
1795,3-4年经验,无学历要求,150-500人,7.0,1.9459101490553128,上海,民营公司,其他,其他
1796,1年经验,本科,50-150人,7.0,1.9459101490553128,上海,民营公司,互联网/电子商务,互联网/电子商务
1797,5年以上工作经验,本科,150-500人,22.5,3.1135153092103742,广州,外资企业,互联网/电子商务,互联网/电子商务
1798,2年经验,本科,150-500人,7.0,1.9459101490553128,成都,民营公司,其他,其他
1799,3-4年经验,本科,50-150人,30.0,3.4011973816621555,北京,民营公司,计算机软件,计算机软件
1800,1年经验,本科,少于50人,6.0,1.791759469228055,其他,民营公司,金融/投资/证券,金融/投资/证券
1801,2年经验,本科,500-1000人,13.0,2.5649493574615367,杭州,民营公司,互联网/电子商务,互联网/电子商务
1802,2年经验,本科,50-150人,30.0,3.4011973816621555,杭州,创业公司,互联网/电子商务,互联网/电子商务
1803,1年经验,本科,150-500人,20.0,2.9957322735539913,深圳,民营公司,其他,其他
1804,3-4年经验,本科,1000-5000人,15.0,2.7080502011022096,杭州,外资企业,互联网/电子商务,互联网/电子商务
1805,2年经验,大专,500-1000人,7.0,1.9459101490553128,广州,民营公司,快速消费品(食品、饮料、化妆品),其他
1806,无工作经验,无学历要求,500-1000人,7.0,1.9459101490553128,南京,外资企业,其他,其他
1807,1年经验,本科,1000-5000人,17.5,2.862200880929469,上海,合资,金融/投资/证券,金融/投资/证券
1808,2年经验,大专,500-1000人,7.0,1.9459101490553128,上海,民营公司,其他,其他
1809,无工作经验,大专,150-500人,12.5,2.525728644308256,北京,上市公司,其他,其他
1810,3-4年经验,本科,500-1000人,12.5,2.525728644308256,上海,民营公司,计算机软件,计算机软件
1811,无工作经验,无学历要求,150-500人,3.75,1.3217558399823195,其他,民营公司,服装/纺织/皮革,服装/纺织/皮革
1812,2年经验,本科,50-150人,12.5,2.525728644308256,广州,合资,计算机软件,计算机软件
1813,3-4年经验,本科,150-500人,17.5,2.862200880929469,上海,民营公司,其他,其他
1814,3-4年经验,本科,500-1000人,11.5,2.4423470353692043,上海,民营公司,互联网/电子商务,互联网/电子商务
1815,3-4年经验,本科,50-150人,20.833333333333336,3.036554268074246,广州,国企,计算机服务(系统、数据服务、维修),计算机服务(系统、数据服务、维修)
1816,1年经验,大专,1000-5000人,10.0,2.302585092994046,其他,国企,其他,其他
1817,3-4年经验,大专,50-150人,11.0,2.3978952727983707,成都,民营公司,互联网/电子商务,互联网/电子商务
1818,3-4年经验,本科,150-500人,6.5,1.8718021769015916,其他,上市公司,计算机软件,计算机软件
1819,1年经验,本科,50-150人,11.5,2.4423470353692043,北京,合资,计算机软件,计算机软件
1820,2年经验,本科,50-150人,6.666666666666668,1.8971199848858813,其他,民营公司,其他,其他
1821,无工作经验,无学历要求,少于50人,12.5,2.525728644308256,深圳,民营公司,计算机服务(系统、数据服务、维修),计算机服务(系统、数据服务、维修)
1822,1年经验,本科,150-500人,7.0,1.9459101490553128,其他,上市公司,其他,其他
1823,3-4年经验,本科,5000-10000人,20.833333333333336,3.036554268074246,杭州,民营公司,其他,其他
1824,2年经验,本科,50-150人,11.5,2.4423470353692043,北京,民营公司,金融/投资/证券,金融/投资/证券
1825,2年经验,大专,50-150人,6.5,1.8718021769015916,上海,民营公司,其他,其他
1826,无工作经验,无学历要求,10000人以上,9.0,2.19722457733622,深圳,民营公司,专业服务(咨询、人力资源、财会),专业服务(咨询、人力资源、财会)
1827,3-4年经验,本科,1000-5000人,29.16666666666667,3.373026504695459,深圳,民营公司,金融/投资/证券,金融/投资/证券
1828,无工作经验,大专,少于50人,11.5,2.4423470353692043,上海,民营公司,其他,其他
1829,5年以上工作经验,本科,150-500人,25.0,3.218875824868201,其他,民营公司,计算机软件,计算机软件
1830,2年经验,本科,500-1000人,15.0,2.7080502011022096,上海,民营公司,计算机软件,计算机软件
1831,2年经验,本科,50-150人,11.0,2.3978952727983707,广州,民营公司,其他,其他
1832,无工作经验,无学历要求,少于50人,7.0,1.9459101490553128,其他,创业公司,互联网/电子商务,互联网/电子商务
1833,无工作经验,无学历要求,5000-10000人,11.5,2.4423470353692043,北京,上市公司,其他,其他
1834,3-4年经验,本科,10000人以上,17.5,2.862200880929469,其他,上市公司,其他,其他
1835,2年经验,大专,150-500人,7.0,1.9459101490553128,上海,合资,其他,其他
1836,无工作经验,本科,少于50人,7.0,1.9459101490553128,成都,民营公司,其他,其他
1837,1年经验,高中,150-500人,7.0,1.9459101490553128,其他,民营公司,快速消费品(食品、饮料、化妆品),其他
1838,无工作经验,大专,少于50人,6.5,1.8718021769015916,合肥,民营公司,计算机软件,计算机软件
1839,2年经验,本科,5000-10000人,5.25,1.6582280766035324,其他,民营公司,其他,其他
1840,无工作经验,无学历要求,150-500人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券,金融/投资/证券
1841,2年经验,本科,少于50人,10.416666666666668,2.3434070875143007,其他,民营公司,专业服务(咨询、人力资源、财会),专业服务(咨询、人力资源、财会)
1842,无工作经验,高中,150-500人,7.0,1.9459101490553128,广州,合资,金融/投资/证券,金融/投资/证券
1843,3-4年经验,大专,10000人以上,15.0,2.7080502011022096,深圳,外资企业,互联网/电子商务,互联网/电子商务
1844,无工作经验,无学历要求,50-150人,17.5,2.862200880929469,其他,民营公司,其他,其他
1845,2年经验,本科,50-150人,15.0,2.7080502011022096,北京,民营公司,专业服务(咨询、人力资源、财会),专业服务(咨询、人力资源、财会)
1846,2年经验,本科,50-150人,20.0,2.9957322735539913,深圳,民营公司,互联网/电子商务,互联网/电子商务
1847,无工作经验,无学历要求,少于50人,17.5,2.862200880929469,广州,创业公司,其他,其他
1848,无工作经验,无学历要求,50-150人,7.0,1.9459101490553128,广州,民营公司,互联网/电子商务,互联网/电子商务
1849,3-4年经验,本科,50-150人,12.5,2.525728644308256,上海,外资企业,金融/投资/证券,金融/投资/证券
1850,1年经验,本科,少于50人,7.5,2.0149030205422647,上海,民营公司,计算机软件,计算机软件
1851,无工作经验,无学历要求,1000-5000人,15.0,2.7080502011022096,深圳,外资企业,其他,其他
1852,无工作经验,大专,50-150人,8.5,2.1400661634962708,深圳,民营公司,其他,其他
1853,2年经验,本科,10000人以上,11.5,2.4423470353692043,广州,民营公司,服装/纺织/皮革,服装/纺织/皮革
1854,无工作经验,无学历要求,50-150人,12.5,2.525728644308256,广州,民营公司,教育/培训/院校,其他
1855,1年经验,本科,150-500人,12.5,2.525728644308256,北京,民营公司,计算机软件,计算机软件
1856,1年经验,本科,少于50人,8.0,2.079441541679836,广州,民营公司,互联网/电子商务,互联网/电子商务
1857,2年经验,本科,少于50人,5.25,1.6582280766035324,成都,国企,其他,其他
1858,3-4年经验,本科,1000-5000人,22.5,3.1135153092103742,上海,民营公司,教育/培训/院校,其他
1859,3-4年经验,本科,50-150人,12.0,2.4849066497880004,武汉,民营公司,计算机软件,计算机软件
1860,1年经验,大专,150-500人,6.0,1.791759469228055,其他,民营公司,快速消费品(食品、饮料、化妆品),其他
1861,无工作经验,本科,50-150人,5.75,1.749199854809259,杭州,外资企业,计算机服务(系统、数据服务、维修),计算机服务(系统、数据服务、维修)
1862,无工作经验,无学历要求,150-500人,11.5,2.4423470353692043,上海,民营公司,互联网/电子商务,互联网/电子商务
1863,2年经验,本科,50-150人,7.5,2.0149030205422647,上海,外资企业,金融/投资/证券,金融/投资/证券
1864,5年以上工作经验,本科,1000-5000人,15.0,2.7080502011022096,上海,国企,其他,其他
1865,无工作经验,无学历要求,1000-5000人,11.5,2.4423470353692043,武汉,民营公司,互联网/电子商务,互联网/电子商务
1866,1年经验,无学历要求,150-500人,9.0,2.19722457733622,上海,民营公司,互联网/电子商务,互联网/电子商务
1867,5年以上工作经验,无学历要求,150-500人,17.5,2.862200880929469,北京,民营公司,计算机软件,计算机软件
1868,无工作经验,本科,150-500人,17.5,2.862200880929469,北京,民营公司,金融/投资/证券,金融/投资/证券
1869,无工作经验,无学历要求,50-150人,27.5,3.3141860046725258,北京,上市公司,互联网/电子商务,互联网/电子商务
1870,2年经验,无学历要求,500-1000人,10.5,2.3513752571634776,其他,民营公司,互联网/电子商务,互联网/电子商务
1871,无工作经验,本科,1000-5000人,12.5,2.525728644308256,北京,民营公司,计算机软件,计算机软件
1872,2年经验,本科,150-500人,9.0,2.19722457733622,杭州,民营公司,互联网/电子商务,互联网/电子商务
1873,1年经验,本科,500-1000人,7.0,1.9459101490553128,上海,合资,金融/投资/证券,金融/投资/证券
1874,3-4年经验,本科,500-1000人,7.5,2.0149030205422647,其他,国企,计算机软件,计算机软件
1875,1年经验,大专,150-500人,8.0,2.079441541679836,深圳,民营公司,其他,其他
1876,5年以上工作经验,本科,10000人以上,27.5,3.3141860046725258,广州,民营公司,快速消费品(食品、饮料、化妆品),其他
1877,无工作经验,大专,少于50人,25.0,3.218875824868201,杭州,民营公司,专业服务(咨询、人力资源、财会),专业服务(咨询、人力资源、财会)
1878,3-4年经验,本科,50-150人,14.0,2.6390573296152584,北京,国企,计算机软件,计算机软件
1879,2年经验,本科,150-500人,12.5,2.525728644308256,北京,民营公司,计算机软件,计算机软件
1880,2年经验,无学历要求,500-1000人,6.5,1.8718021769015916,杭州,民营公司,其他,其他
1881,5年以上工作经验,无学历要求,150-500人,22.5,3.1135153092103742,其他,上市公司,互联网/电子商务,互联网/电子商务
1882,无工作经验,无学历要求,500-1000人,12.5,2.525728644308256,南京,外资企业,互联网/电子商务,互联网/电子商务
1883,无工作经验,大专,150-500人,6.5,1.8718021769015916,广州,民营公司,互联网/电子商务,互联网/电子商务
1884,1年经验,大专,50-150人,16.666666666666664,2.8134107167600364,广州,国企,互联网/电子商务,互联网/电子商务
1885,无工作经验,硕士,150-500人,7.5,2.0149030205422647,北京,国企,互联网/电子商务,互联网/电子商务
1886,无工作经验,无学历要求,1000-5000人,4.25,1.4469189829363254,合肥,民营公司,金融/投资/证券,金融/投资/证券
1887,2年经验,无学历要求,150-500人,8.0,2.079441541679836,其他,民营公司,计算机软件,计算机软件
1888,无工作经验,无学历要求,150-500人,7.0,1.9459101490553128,上海,民营公司,计算机软件,计算机软件
1889,5年以上工作经验,本科,1000-5000人,12.5,2.525728644308256,杭州,民营公司,快速消费品(食品、饮料、化妆品),其他
1890,2年经验,本科,50-150人,11.5,2.4423470353692043,深圳,民营公司,其他,其他
1891,无工作经验,本科,500-1000人,12.0,2.4849066497880004,武汉,民营公司,互联网/电子商务,互联网/电子商务
1892,无工作经验,无学历要求,500-1000人,10.0,2.302585092994046,深圳,民营公司,快速消费品(食品、饮料、化妆品),其他
1893,3-4年经验,大专,50-150人,12.5,2.525728644308256,广州,民营公司,其他,其他
1894,无工作经验,无学历要求,50-150人,5.25,1.6582280766035324,其他,民营公司,其他,其他
1895,2年经验,大专,150-500人,11.5,2.4423470353692043,广州,民营公司,互联网/电子商务,互联网/电子商务
1896,1年经验,本科,10000人以上,12.5,2.525728644308256,广州,合资,其他,其他
1897,无工作经验,无学历要求,150-500人,5.25,1.6582280766035324,成都,民营公司,其他,其他
1898,无工作经验,无学历要求,50-150人,6.0,1.791759469228055,深圳,民营公司,互联网/电子商务,互联网/电子商务
1899,无工作经验,无学历要求,少于50人,4.5,1.5040773967762742,广州,民营公司,其他,其他
1900,3-4年经验,本科,500-1000人,35.0,3.555348061489413,北京,民营公司,多元化业务集团公司,其他
1901,2年经验,本科,50-150人,12.5,2.525728644308256,上海,外资企业,计算机软件,计算机软件
1902,2年经验,本科,150-500人,9.5,2.2512917986064958,杭州,民营公司,其他,其他
1903,2年经验,大专,150-500人,5.25,1.6582280766035324,其他,民营公司,服装/纺织/皮革,服装/纺织/皮革
1904,3-4年经验,本科,50-150人,11.5,2.4423470353692043,杭州,民营公司,互联网/电子商务,互联网/电子商务
1905,1年经验,本科,1000-5000人,11.5,2.4423470353692043,西安,合资,专业服务(咨询、人力资源、财会),专业服务(咨询、人力资源、财会)
1906,无工作经验,大专,5000-10000人,9.0,2.19722457733622,杭州,上市公司,其他,其他
1907,无工作经验,无学历要求,少于50人,10.0,2.302585092994046,其他,创业公司,计算机软件,计算机软件
1908,3-4年经验,本科,1000-5000人,12.5,2.525728644308256,北京,民营公司,教育/培训/院校,其他
1909,3-4年经验,本科,50-150人,17.5,2.862200880929469,深圳,民营公司,其他,其他
1910,无工作经验,本科,10000人以上,12.5,2.525728644308256,上海,国企,其他,其他
1911,3-4年经验,本科,10000人以上,5.25,1.6582280766035324,其他,国企,多元化业务集团公司,其他
1912,无工作经验,大专,50-150人,10.0,2.302585092994046,其他,民营公司,金融/投资/证券,金融/投资/证券
1913,3-4年经验,本科,500-1000人,6.0,1.791759469228055,其他,民营公司,其他,其他
1914,无工作经验,无学历要求,50-150人,4.0,1.3862943611198906,南京,民营公司,其他,其他
1915,3-4年经验,大专,150-500人,13.333333333333332,2.5902671654458267,上海,外资企业,快速消费品(食品、饮料、化妆品),其他
1916,无工作经验,无学历要求,150-500人,9.0,2.19722457733622,其他,民营公司,计算机软件,计算机软件
1917,1年经验,本科,少于50人,9.0,2.19722457733622,上海,民营公司,其他,其他
1918,2年经验,大专,少于50人,9.5,2.2512917986064958,深圳,民营公司,互联网/电子商务,互联网/电子商务
1919,2年经验,本科,50-150人,9.0,2.19722457733622,上海,民营公司,互联网/电子商务,互联网/电子商务
1920,无工作经验,无学历要求,50-150人,12.0,2.4849066497880004,上海,合资,金融/投资/证券,金融/投资/证券
1921,3-4年经验,本科,150-500人,20.0,2.9957322735539913,广州,上市公司,计算机服务(系统、数据服务、维修),计算机服务(系统、数据服务、维修)
1922,3-4年经验,本科,1000-5000人,9.0,2.19722457733622,上海,外资企业,其他,其他
1923,3-4年经验,本科,5000-10000人,29.0,3.3672958299864737,深圳,民营公司,金融/投资/证券,金融/投资/证券
1924,无工作经验,大专,50-150人,12.5,2.525728644308256,北京,民营公司,金融/投资/证券,金融/投资/证券
1925,1年经验,硕士,150-500人,9.5,2.2512917986064958,其他,民营公司,计算机软件,计算机软件
1926,1年经验,本科,10000人以上,15.0,2.7080502011022096,北京,民营公司,教育/培训/院校,其他
1927,3-4年经验,本科,150-500人,13.75,2.6210388241125804,上海,国企,其他,其他
1928,2年经验,本科,50-150人,8.0,2.079441541679836,武汉,民营公司,其他,其他
1929,2年经验,大专,少于50人,9.0,2.19722457733622,其他,民营公司,其他,其他
1930,无工作经验,本科,150-500人,9.0,2.19722457733622,广州,国企,其他,其他
1931,2年经验,本科,1000-5000人,12.5,2.525728644308256,北京,民营公司,教育/培训/院校,其他
1932,3-4年经验,本科,50-150人,6.5,1.8718021769015916,其他,民营公司,互联网/电子商务,互联网/电子商务
1933,2年经验,本科,150-500人,8.0,2.079441541679836,杭州,民营公司,互联网/电子商务,互联网/电子商务
1934,1年经验,本科,少于50人,7.5,2.0149030205422647,深圳,民营公司,金融/投资/证券,金融/投资/证券
1935,无工作经验,无学历要求,5000-10000人,5.25,1.6582280766035324,上海,民营公司,通信/电信运营、增值服务,其他
1936,3-4年经验,本科,50-150人,9.0,2.19722457733622,北京,民营公司,其他,其他
1937,1年经验,本科,500-1000人,17.5,2.862200880929469,南京,民营公司,其他,其他
1938,无工作经验,无学历要求,50-150人,5.25,1.6582280766035324,其他,民营公司,金融/投资/证券,金融/投资/证券
1939,无工作经验,无学历要求,少于50人,14.583333333333336,2.6798793241355137,其他,民营公司,专业服务(咨询、人力资源、财会),专业服务(咨询、人力资源、财会)
1940,2年经验,无学历要求,150-500人,7.5,2.0149030205422647,广州,民营公司,计算机软件,计算机软件
1941,3-4年经验,大专,50-150人,17.5,2.862200880929469,上海,民营公司,计算机软件,计算机软件
1942,2年经验,本科,150-500人,10.416666666666668,2.3434070875143007,广州,国企,其他,其他
1943,无工作经验,本科,1000-5000人,17.5,2.862200880929469,上海,外资企业,计算机软件,计算机软件
1944,无工作经验,本科,10000人以上,7.5,2.0149030205422647,武汉,民营公司,其他,其他
1945,2年经验,大专,50-150人,5.25,1.6582280766035324,广州,民营公司,服装/纺织/皮革,服装/纺织/皮革
1946,无工作经验,本科,1000-5000人,9.0,2.19722457733622,其他,民营公司,互联网/电子商务,互联网/电子商务
1947,2年经验,大专,500-1000人,7.0,1.9459101490553128,其他,民营公司,服装/纺织/皮革,服装/纺织/皮革
1948,3-4年经验,本科,50-150人,45.83333333333334,3.825011628438516,深圳,民营公司,专业服务(咨询、人力资源、财会),专业服务(咨询、人力资源、财会)
1949,2年经验,大专,1000-5000人,12.5,2.525728644308256,深圳,民营公司,互联网/电子商务,互联网/电子商务
1950,2年经验,本科,500-1000人,8.0,2.079441541679836,深圳,外资企业,其他,其他
