,exp,edu,scale,industry,avgsalary,lnsalary,city,type
1052,3-4年经验,本科,150-500人,互联网/电子商务,20.0,2.995732273553991,广州,民营公司
1053,无工作经验,高中,150-500人,"金融/投资/证券,信托/担保/拍卖/典当",7.0,1.9459101490553132,广州,合资
1055,8-9年经验,硕士,150-500人,"计算机软件,医疗/护理/卫生",11.0,2.3978952727983707,广州,民营公司
1056,无工作经验,无学历要求,500-1000人,"快速消费品(食品、饮料、化妆品),互联网/电子商务",12.5,2.5257286443082556,杭州,合资
1057,无工作经验,高中,150-500人,"金融/投资/证券,专业服务(咨询、人力资源、财会)",8.5,2.1400661634962708,广州,民营公司
1058,无工作经验,无学历要求,50-150人,"餐饮业,物业管理/商业中心",4.5,1.5040773967762742,上海,民营公司
1059,1年经验,本科,150-500人,"金融/投资/证券,银行",12.5,2.5257286443082556,北京,民营公司
1060,3-4年经验,本科,1000-5000人,家具/家电/玩具/礼品,10.416666666666668,2.3434070875143007,杭州,上市公司
1061,2年经验,本科,150-500人,互联网/电子商务,12.5,2.5257286443082556,广州,民营公司
1062,3-4年经验,本科,150-500人,"计算机软件,计算机硬件",15.0,2.70805020110221,深圳,合资
1063,1年经验,本科,50-150人,"物业管理/商业中心,多元化业务集团公司",7.0,1.9459101490553132,广州,民营公司
1064,2年经验,大专,500-1000人,"服装/纺织/皮革,批发/零售",7.0,1.9459101490553132,上海,民营公司
1065,1年经验,本科,150-500人,"快速消费品(食品、饮料、化妆品),互联网/电子商务",7.0,1.9459101490553132,杭州,民营公司
1066,3-4年经验,本科,1000-5000人,"电子技术/半导体/集成电路,计算机软件",12.5,2.5257286443082556,合肥,外资企业
1067,5-7年经验,硕士,50-150人,"专业服务(咨询、人力资源、财会),计算机服务(系统、数据服务、维修)",17.5,2.8622008809294686,上海,外资企业
1068,无工作经验,无学历要求,1000-5000人,"批发/零售,互联网/电子商务",7.5,2.0149030205422647,北京,民营公司
1069,无工作经验,无学历要求,50-150人,金融/投资/证券,10.5,2.3513752571634776,北京,民营公司
1070,1年经验,本科,150-500人,"互联网/电子商务,贸易/进出口",7.5,2.0149030205422647,其他,民营公司
1071,3-4年经验,本科,1000-5000人,"互联网/电子商务,专业服务(咨询、人力资源、财会)",9.0,2.1972245773362196,上海,民营公司
1073,无工作经验,本科,150-500人,"汽车及零配件,电子技术/半导体/集成电路",6.5,1.8718021769015913,武汉,民营公司
1074,无工作经验,无学历要求,50-150人,"计算机软件,计算机服务(系统、数据服务、维修)",8.0,2.0794415416798357,广州,民营公司
1076,1年经验,本科,少于50人,"计算机软件,计算机服务(系统、数据服务、维修)",7.5,2.0149030205422647,其他,民营公司
1077,无工作经验,无学历要求,150-500人,制药/生物工程,7.0,1.9459101490553132,杭州,民营公司
1078,无工作经验,本科,50-150人,"医疗/护理/卫生,制药/生物工程",5.5,1.7047480922384253,合肥,民营公司
1079,1年经验,本科,50-150人,"计算机服务(系统、数据服务、维修),计算机软件",22.5,3.1135153092103742,其他,民营公司
1080,3-4年经验,本科,150-500人,快速消费品(食品、饮料、化妆品),12.5,2.5257286443082556,北京,民营公司
1081,2年经验,大专,500-1000人,"互联网/电子商务,专业服务(咨询、人力资源、财会)",5.5,1.7047480922384253,深圳,外资企业
1082,2年经验,大专,150-500人,快速消费品(食品、饮料、化妆品),4.0,1.3862943611198906,其他,民营公司
1083,无工作经验,本科,,,12.5,2.5257286443082556,上海,国企
1084,2年经验,本科,50-150人,"金融/投资/证券,计算机软件",20.0,2.995732273553991,深圳,民营公司
1085,无工作经验,大专,50-150人,"贸易/进出口,互联网/电子商务",8.0,2.0794415416798357,深圳,民营公司
1086,3-4年经验,本科,150-500人,"计算机软件,互联网/电子商务",10.0,2.302585092994046,其他,民营公司
1087,无工作经验,大专,50-150人,"服装/纺织/皮革,批发/零售",3.75,1.3217558399823195,其他,民营公司
1088,2年经验,大专,500-1000人,"计算机软件,通信/电信运营、增值服务",12.5,2.5257286443082556,上海,民营公司
1089,1年经验,本科,1000-5000人,教育/培训/院校,6.0,1.791759469228055,广州,上市公司
1090,3-4年经验,本科,150-500人,计算机软件,7.5,2.0149030205422647,其他,民营公司
1092,2年经验,本科,500-1000人,专业服务(咨询、人力资源、财会),12.5,2.5257286443082556,北京,合资
1093,无工作经验,无学历要求,50-150人,"网络游戏,互联网/电子商务",12.5,2.5257286443082556,杭州,民营公司
1094,2年经验,大专,150-500人,"专业服务(咨询、人力资源、财会),网络游戏",3.75,1.3217558399823195,广州,民营公司
1095,无工作经验,本科,150-500人,金融/投资/证券,9.0,2.1972245773362196,北京,民营公司
1096,无工作经验,无学历要求,50-150人,互联网/电子商务,4.25,1.4469189829363254,成都,民营公司
1097,3-4年经验,本科,1000-5000人,互联网/电子商务,9.0,2.1972245773362196,成都,民营公司
1099,3-4年经验,大专,50-150人,互联网/电子商务,13.0,2.5649493574615367,上海,外资企业
1100,无工作经验,大专,1000-5000人,"批发/零售,服装/纺织/皮革",2.5,0.9162907318741551,其他,民营公司
1101,无工作经验,本科,1000-5000人,教育/培训/院校,19.0,2.9444389791664403,北京,上市公司
1102,1年经验,大专,150-500人,"金融/投资/证券,专业服务(咨询、人力资源、财会)",7.5,2.0149030205422647,广州,民营公司
1103,2年经验,本科,少于50人,"互联网/电子商务,计算机软件",12.5,2.5257286443082556,广州,民营公司
1104,无工作经验,无学历要求,1000-5000人,"贸易/进出口,快速消费品(食品、饮料、化妆品)",5.25,1.6582280766035324,深圳,民营公司
1105,5-7年经验,本科,1000-5000人,"互联网/电子商务,金融/投资/证券",22.5,3.1135153092103742,广州,民营公司
1106,1年经验,本科,150-500人,互联网/电子商务,9.0,2.1972245773362196,广州,民营公司
1107,1年经验,大专,1000-5000人,"教育/培训/院校,互联网/电子商务",7.0,1.9459101490553132,南京,民营公司
1108,1年经验,本科,150-500人,"计算机软件,互联网/电子商务",7.0,1.9459101490553132,上海,民营公司
1109,3-4年经验,无学历要求,50-150人,计算机软件,25.0,3.2188758248682006,上海,民营公司
1110,1年经验,本科,50-150人,"网络游戏,互联网/电子商务",15.0,2.70805020110221,广州,民营公司
1111,无工作经验,无学历要求,10000人以上,"房地产,中介服务",9.0,2.1972245773362196,上海,民营公司
1112,无工作经验,本科,150-500人,"互联网/电子商务,餐饮业",22.5,3.1135153092103742,深圳,民营公司
1113,无工作经验,无学历要求,150-500人,"互联网/电子商务,计算机软件",3.75,1.3217558399823195,其他,民营公司
1114,3-4年经验,本科,50-150人,"计算机软件,互联网/电子商务",12.5,2.5257286443082556,深圳,外资企业
1115,3-4年经验,本科,50-150人,计算机软件,30.0,3.4011973816621555,上海,民营公司
1116,无工作经验,本科,少于50人,保险,14.583333333333334,2.6798793241355137,上海,外资企业
1117,1年经验,本科,50-150人,计算机软件,12.5,2.5257286443082556,上海,合资
1118,1年经验,本科,50-150人,"互联网/电子商务,金融/投资/证券",9.0,2.1972245773362196,广州,民营公司
1119,5-7年经验,本科,150-500人,计算机软件,12.5,2.5257286443082556,北京,上市公司
1120,无工作经验,本科,50-150人,"教育/培训/院校,互联网/电子商务",10.0,2.302585092994046,其他,民营公司
1121,无工作经验,本科,50-150人,贸易/进出口,25.0,3.2188758248682006,深圳,民营公司
1122,3-4年经验,本科,150-500人,"通信/电信运营、增值服务,批发/零售",10.0,2.302585092994046,其他,民营公司
1123,1年经验,本科,150-500人,"互联网/电子商务,金融/投资/证券",5.0,1.6094379124341003,其他,民营公司
1124,1年经验,本科,150-500人,"专业服务(咨询、人力资源、财会),互联网/电子商务",8.5,2.1400661634962708,上海,合资
1125,无工作经验,高中,150-500人,金融/投资/证券,9.0,2.1972245773362196,广州,民营公司
1126,无工作经验,大专,50-150人,"计算机软件,环保",5.25,1.6582280766035324,其他,民营公司
1127,3-4年经验,本科,1000-5000人,"电气/电力/水利,仪器仪表/工业自动化",11.0,2.3978952727983707,深圳,民营公司
1128,3-4年经验,无学历要求,1000-5000人,"租赁服务,互联网/电子商务",9.0,2.1972245773362196,其他,民营公司
1129,2年经验,本科,150-500人,"快速消费品(食品、饮料、化妆品),多元化业务集团公司",9.0,2.1972245773362196,广州,民营公司
1130,3-4年经验,本科,150-500人,"互联网/电子商务,计算机软件",15.0,2.70805020110221,杭州,民营公司
1131,1年经验,本科,500-1000人,"互联网/电子商务,计算机软件",5.25,1.6582280766035324,其他,上市公司
1132,无工作经验,无学历要求,150-500人,"计算机服务(系统、数据服务、维修),计算机软件",10.416666666666668,2.3434070875143007,上海,外资企业
1133,无工作经验,无学历要求,150-500人,"影视/媒体/艺术/文化传播,公关/市场推广/会展",3.75,1.3217558399823195,成都,民营公司
1134,3-4年经验,博士,少于50人,"新能源,计算机服务(系统、数据服务、维修)",27.5,3.3141860046725258,杭州,民营公司
1135,无工作经验,无学历要求,50-150人,"计算机服务(系统、数据服务、维修),通信/电信/网络设备",11.5,2.4423470353692043,其他,外资企业
1136,无工作经验,本科,1000-5000人,"计算机硬件,计算机服务(系统、数据服务、维修)",10.416666666666668,2.3434070875143007,北京,国企
1137,3-4年经验,本科,10000人以上,金融/投资/证券,15.0,2.70805020110221,深圳,民营公司
1138,2年经验,本科,少于50人,租赁服务,15.0,2.70805020110221,深圳,民营公司
1139,3-4年经验,本科,50-150人,"汽车及零配件,多元化业务集团公司",10.0,2.302585092994046,其他,民营公司
1140,2年经验,本科,5000-10000人,金融/投资/证券,9.5,2.2512917986064953,成都,民营公司
1141,1年经验,本科,150-500人,"计算机软件,计算机服务(系统、数据服务、维修)",12.5,2.5257286443082556,上海,民营公司
1142,1年经验,本科,150-500人,"计算机软件,计算机硬件",5.5,1.7047480922384253,广州,民营公司
1143,2年经验,大专,150-500人,"互联网/电子商务,贸易/进出口",5.25,1.6582280766035324,其他,民营公司
1144,2年经验,无学历要求,50-150人,互联网/电子商务,3.75,1.3217558399823195,其他,民营公司
1145,1年经验,大专,少于50人,"公关/市场推广/会展,专业服务(咨询、人力资源、财会)",4.0,1.3862943611198906,其他,创业公司
1146,无工作经验,硕士,150-500人,计算机软件,15.0,2.70805020110221,北京,创业公司
1147,无工作经验,本科,1000-5000人,互联网/电子商务,9.0,2.1972245773362196,其他,国企
1148,1年经验,本科,150-500人,"互联网/电子商务,计算机软件",7.0,1.9459101490553132,上海,外资企业
1149,3-4年经验,本科,1000-5000人,"计算机软件,计算机服务(系统、数据服务、维修)",17.5,2.8622008809294686,深圳,国企
1150,2年经验,本科,150-500人,"计算机服务(系统、数据服务、维修),互联网/电子商务",15.0,2.70805020110221,上海,民营公司
1151,3-4年经验,本科,500-1000人,"计算机软件,互联网/电子商务",12.5,2.5257286443082556,其他,民营公司
1152,无工作经验,大专,150-500人,"贸易/进出口,互联网/电子商务",9.0,2.1972245773362196,其他,民营公司
1153,2年经验,硕士,少于50人,"互联网/电子商务,计算机服务(系统、数据服务、维修)",15.0,2.70805020110221,北京,创业公司
1154,无工作经验,本科,1000-5000人,"互联网/电子商务,制药/生物工程",12.5,2.5257286443082556,广州,民营公司
1155,1年经验,本科,150-500人,会计/审计,9.0,2.1972245773362196,杭州,民营公司
1156,5-7年经验,本科,500-1000人,"计算机软件,建筑/建材/工程",25.0,3.2188758248682006,上海,民营公司
1157,1年经验,本科,500-1000人,"金融/投资/证券,互联网/电子商务",10.0,2.302585092994046,上海,民营公司
1158,无工作经验,无学历要求,150-500人,影视/媒体/艺术/文化传播,10.0,2.302585092994046,北京,民营公司
1159,1年经验,大专,150-500人,"贸易/进出口,互联网/电子商务",7.5,2.0149030205422647,深圳,民营公司
1160,3-4年经验,无学历要求,1000-5000人,"互联网/电子商务,金融/投资/证券",19.0,2.9444389791664403,深圳,民营公司
1161,2年经验,高中,50-150人,"服装/纺织/皮革,批发/零售",7.0,1.9459101490553132,广州,民营公司
1162,无工作经验,无学历要求,50-150人,"文字媒体/出版,环保",9.0,2.1972245773362196,上海,民营公司
1163,2年经验,本科,1000-5000人,"互联网/电子商务,计算机软件",22.5,3.1135153092103742,北京,民营公司
1164,5-7年经验,本科,1000-5000人,互联网/电子商务,18.5,2.917770732084279,北京,创业公司
1165,5-7年经验,本科,500-1000人,医疗设备/器械,9.0,2.1972245773362196,其他,民营公司
1166,3-4年经验,本科,150-500人,"互联网/电子商务,计算机服务(系统、数据服务、维修)",12.5,2.5257286443082556,武汉,创业公司
1167,3-4年经验,本科,500-1000人,"快速消费品(食品、饮料、化妆品),原材料和加工",9.0,2.1972245773362196,广州,上市公司
1168,无工作经验,无学历要求,500-1000人,"互联网/电子商务,通信/电信运营、增值服务",15.0,2.70805020110221,广州,上市公司
1170,无工作经验,无学历要求,150-500人,"互联网/电子商务,网络游戏",15.0,2.70805020110221,成都,民营公司
1171,3-4年经验,本科,50-150人,互联网/电子商务,11.5,2.4423470353692043,深圳,民营公司
1172,2年经验,大专,50-150人,金融/投资/证券,7.5,2.0149030205422647,广州,民营公司
1173,3-4年经验,本科,1000-5000人,交通/运输/物流,22.5,3.1135153092103742,上海,外资企业
1174,3-4年经验,无学历要求,50-150人,"互联网/电子商务,广告",17.5,2.8622008809294686,上海,民营公司
1175,3-4年经验,本科,50-150人,专业服务(咨询、人力资源、财会),10.416666666666668,2.3434070875143007,上海,民营公司
1176,3-4年经验,大专,少于50人,"互联网/电子商务,计算机软件",9.0,2.1972245773362196,其他,民营公司
1177,无工作经验,大专,500-1000人,"金融/投资/证券,法律",5.25,1.6582280766035324,其他,民营公司
1178,1年经验,本科,少于50人,"贸易/进出口,互联网/电子商务",11.5,2.4423470353692043,广州,民营公司
1179,3-4年经验,本科,1000-5000人,"快速消费品(食品、饮料、化妆品),制药/生物工程",14.583333333333334,2.6798793241355137,广州,外资企业
1180,2年经验,本科,500-1000人,金融/投资/证券,14.0,2.6390573296152584,广州,民营公司
1181,1年经验,本科,1000-5000人,"办公用品及设备,互联网/电子商务",9.0,2.1972245773362196,上海,民营公司
1182,3-4年经验,本科,150-500人,"互联网/电子商务,服装/纺织/皮革",17.5,2.8622008809294686,北京,民营公司
1183,2年经验,大专,150-500人,"金融/投资/证券,租赁服务",17.5,2.8622008809294686,其他,上市公司
1184,无工作经验,本科,150-500人,"仪器仪表/工业自动化,计算机软件",9.0,2.1972245773362196,北京,国企
1185,3-4年经验,本科,少于50人,"金融/投资/证券,银行",12.5,2.5257286443082556,上海,创业公司
1186,3-4年经验,本科,500-1000人,快速消费品(食品、饮料、化妆品),14.5,2.6741486494265287,深圳,合资
1187,无工作经验,无学历要求,150-500人,"贸易/进出口,汽车及零配件",7.0,1.9459101490553132,广州,民营公司
1188,无工作经验,大专,150-500人,"汽车及零配件,贸易/进出口",10.0,2.302585092994046,上海,合资
1189,2年经验,本科,50-150人,互联网/电子商务,10.0,2.302585092994046,其他,民营公司
1190,3-4年经验,本科,150-500人,"互联网/电子商务,家具/家电/玩具/礼品",6.5,1.8718021769015913,其他,民营公司
1191,3-4年经验,大专,150-500人,计算机软件,13.0,2.5649493574615367,广州,外资企业
1192,无工作经验,本科,50-150人,"计算机软件,环保",11.0,2.3978952727983707,北京,民营公司
1193,1年经验,本科,1000-5000人,互联网/电子商务,7.0,1.9459101490553132,杭州,外资企业
1194,3-4年经验,本科,500-1000人,"互联网/电子商务,服装/纺织/皮革",12.5,2.5257286443082556,深圳,民营公司
1196,2年经验,无学历要求,150-500人,"政府/公共事业,建筑/建材/工程",12.5,2.5257286443082556,广州,上市公司
1197,2年经验,大专,50-150人,"互联网/电子商务,计算机服务(系统、数据服务、维修)",6.0,1.791759469228055,其他,民营公司
1198,无工作经验,本科,1000-5000人,"家居/室内设计/装潢,互联网/电子商务",20.0,2.995732273553991,广州,民营公司
1199,无工作经验,本科,500-1000人,"计算机软件,建筑/建材/工程",18.75,2.9311937524164198,杭州,民营公司
1200,无工作经验,无学历要求,150-500人,"互联网/电子商务,计算机软件",17.5,2.8622008809294686,上海,民营公司
1201,2年经验,本科,少于50人,"互联网/电子商务,贸易/进出口",10.0,2.302585092994046,上海,民营公司
1202,1年经验,大专,5000-10000人,"批发/零售,奢侈品/收藏品/工艺品/珠宝",7.0,1.9459101490553132,上海,外资企业
1203,无工作经验,无学历要求,1000-5000人,"环保,家具/家电/玩具/礼品",12.5,2.5257286443082556,上海,上市公司
1204,无工作经验,无学历要求,500-1000人,物业管理/商业中心,15.0,2.70805020110221,武汉,民营公司
1205,2年经验,本科,150-500人,"通信/电信/网络设备,通信/电信运营、增值服务",9.0,2.1972245773362196,深圳,上市公司
1206,10年以上经验,本科,1000-5000人,"计算机服务(系统、数据服务、维修),计算机软件",22.5,3.1135153092103742,北京,外资企业
1207,3-4年经验,本科,50-150人,互联网/电子商务,30.0,3.4011973816621555,广州,民营公司
1208,无工作经验,大专,150-500人,批发/零售,3.75,1.3217558399823195,其他,民营公司
1209,1年经验,本科,500-1000人,通信/电信运营、增值服务,6.5,1.8718021769015913,其他,民营公司
1210,无工作经验,无学历要求,1000-5000人,"互联网/电子商务,原材料和加工",17.5,2.8622008809294686,上海,民营公司
1211,2年经验,硕士,50-150人,学术/科研,10.0,2.302585092994046,其他,民营公司
1212,3-4年经验,大专,150-500人,服装/纺织/皮革,5.833333333333334,1.7635885922613588,其他,民营公司
1213,3-4年经验,本科,少于50人,医疗/护理/卫生,11.0,2.3978952727983707,上海,合资
1214,2年经验,本科,150-500人,租赁服务,7.5,2.0149030205422647,杭州,外资企业
1215,1年经验,本科,50-150人,"互联网/电子商务,计算机软件",6.0,1.791759469228055,其他,民营公司
1216,无工作经验,大专,1000-5000人,交通/运输/物流,7.0,1.9459101490553132,其他,民营公司
1217,无工作经验,无学历要求,50-150人,"金融/投资/证券,租赁服务",9.0,2.1972245773362196,合肥,国企
1218,1年经验,本科,50-150人,"计算机服务(系统、数据服务、维修),计算机软件",5.0,1.6094379124341003,其他,民营公司
1219,无工作经验,无学历要求,1000-5000人,制药/生物工程,10.5,2.3513752571634776,广州,民营公司
1220,3-4年经验,本科,500-1000人,建筑/建材/工程,12.5,2.5257286443082556,其他,民营公司
1221,1年经验,本科,150-500人,"计算机软件,网络游戏",11.5,2.4423470353692043,成都,外资企业
1222,无工作经验,无学历要求,1000-5000人,"机械/设备/重工,家具/家电/玩具/礼品",5.25,1.6582280766035324,其他,外资企业
1223,1年经验,大专,10000人以上,服装/纺织/皮革,6.0,1.791759469228055,其他,上市公司
1224,1年经验,大专,10000人以上,电子技术/半导体/集成电路,7.0,1.9459101490553132,深圳,外资企业
1225,2年经验,本科,500-1000人,互联网/电子商务,15.0,2.70805020110221,北京,民营公司
1226,无工作经验,大专,150-500人,"金融/投资/证券,专业服务(咨询、人力资源、财会)",4.0,1.3862943611198906,广州,合资
1227,1年经验,大专,50-150人,金融/投资/证券,9.0,2.1972245773362196,北京,民营公司
1228,无工作经验,高中,150-500人,金融/投资/证券,5.25,1.6582280766035324,广州,民营公司
1229,5-7年经验,本科,10000人以上,"通信/电信/网络设备,电子技术/半导体/集成电路",40.0,3.6888794541139363,深圳,民营公司
1230,无工作经验,本科,1000-5000人,"计算机软件,通信/电信运营、增值服务",12.5,2.5257286443082556,其他,国企
1232,2年经验,本科,50-150人,机械/设备/重工,15.0,2.70805020110221,南京,民营公司
1233,无工作经验,无学历要求,150-500人,"外包服务,金融/投资/证券",5.0,1.6094379124341003,其他,民营公司
1234,无工作经验,本科,500-1000人,互联网/电子商务,17.5,2.8622008809294686,上海,外资企业
1235,1年经验,大专,50-150人,"批发/零售,服装/纺织/皮革",5.0,1.6094379124341003,广州,民营公司
1236,3-4年经验,本科,1000-5000人,"房地产,互联网/电子商务",7.0,1.9459101490553132,成都,民营公司
1237,3-4年经验,本科,5000-10000人,计算机软件,27.0,3.295836866004329,上海,合资
1238,3-4年经验,本科,500-1000人,互联网/电子商务,5.25,1.6582280766035324,其他,民营公司
1239,无工作经验,无学历要求,500-1000人,文字媒体/出版,15.0,2.70805020110221,广州,国企
1240,无工作经验,大专,150-500人,"电子技术/半导体/集成电路,环保",7.0,1.9459101490553132,广州,上市公司
1241,2年经验,本科,500-1000人,计算机软件,12.5,2.5257286443082556,上海,民营公司
1242,无工作经验,无学历要求,150-500人,"金融/投资/证券,互联网/电子商务",50.0,3.912023005428146,南京,合资
1243,无工作经验,硕士,1000-5000人,"机械/设备/重工,学术/科研",12.5,2.5257286443082556,上海,国企
1244,无工作经验,无学历要求,50-150人,"计算机软件,公关/市场推广/会展",9.0,2.1972245773362196,上海,民营公司
1245,1年经验,无学历要求,500-1000人,"批发/零售,计算机服务(系统、数据服务、维修)",11.5,2.4423470353692043,上海,民营公司
1246,1年经验,本科,,多元化业务集团公司,4.0,1.3862943611198906,南京,民营公司
1247,2年经验,无学历要求,少于50人,贸易/进出口,5.25,1.6582280766035324,成都,民营公司
1248,1年经验,本科,150-500人,"专业服务(咨询、人力资源、财会),互联网/电子商务",9.0,2.1972245773362196,广州,民营公司
1249,3-4年经验,大专,少于50人,计算机软件,6.0,1.791759469228055,其他,民营公司
1250,1年经验,本科,少于50人,"互联网/电子商务,贸易/进出口",13.5,2.6026896854443837,上海,民营公司
1251,3-4年经验,大专,150-500人,"互联网/电子商务,计算机服务(系统、数据服务、维修)",15.0,2.70805020110221,广州,民营公司
1252,无工作经验,无学历要求,1000-5000人,"批发/零售,奢侈品/收藏品/工艺品/珠宝",6.5,1.8718021769015913,其他,合资
1253,3-4年经验,本科,1000-5000人,"互联网/电子商务,教育/培训/院校",12.5,2.5257286443082556,合肥,民营公司
1254,3-4年经验,本科,50-150人,"计算机软件,金融/投资/证券",20.833333333333336,3.036554268074246,北京,外资企业
1255,无工作经验,无学历要求,150-500人,"金融/投资/证券,互联网/电子商务",12.5,2.5257286443082556,成都,民营公司
1256,2年经验,本科,少于50人,"计算机软件,互联网/电子商务",12.5,2.5257286443082556,上海,民营公司
1257,2年经验,本科,150-500人,"计算机软件,计算机服务(系统、数据服务、维修)",8.0,2.0794415416798357,武汉,民营公司
1258,无工作经验,本科,50-150人,法律,6.5,1.8718021769015913,其他,民营公司
1259,1年经验,本科,1000-5000人,机械/设备/重工,7.0,1.9459101490553132,其他,外资企业
1260,无工作经验,无学历要求,150-500人,"互联网/电子商务,计算机软件",10.0,2.302585092994046,杭州,民营公司
1261,2年经验,本科,150-500人,"金融/投资/证券,互联网/电子商务",9.5,2.2512917986064953,上海,民营公司
1262,无工作经验,无学历要求,500-1000人,金融/投资/证券,12.5,2.5257286443082556,北京,民营公司
1263,3-4年经验,无学历要求,5000-10000人,"电子技术/半导体/集成电路,仪器仪表/工业自动化",7.0,1.9459101490553132,其他,合资
1264,无工作经验,本科,1000-5000人,汽车及零配件,22.5,3.1135153092103742,北京,外资企业
1265,3-4年经验,本科,10000人以上,"批发/零售,快速消费品(食品、饮料、化妆品)",7.0,1.9459101490553132,广州,民营公司
1266,无工作经验,大专,1000-5000人,互联网/电子商务,3.75,1.3217558399823195,武汉,外资企业
1267,3-4年经验,本科,500-1000人,"计算机软件,计算机服务(系统、数据服务、维修)",12.5,2.5257286443082556,广州,上市公司
1268,3-4年经验,本科,10000人以上,快速消费品(食品、饮料、化妆品),16.5,2.803360380906535,广州,外资企业
1269,无工作经验,无学历要求,500-1000人,"计算机软件,互联网/电子商务",9.0,2.1972245773362196,其他,国企
1270,5-7年经验,本科,1000-5000人,"计算机软件,计算机服务(系统、数据服务、维修)",15.0,2.70805020110221,北京,国企
1271,1年经验,大专,150-500人,"贸易/进出口,互联网/电子商务",7.0,1.9459101490553132,广州,民营公司
1272,2年经验,本科,150-500人,服装/纺织/皮革,5.25,1.6582280766035324,其他,民营公司
1273,无工作经验,本科,50-150人,环保,5.0,1.6094379124341003,成都,民营公司
1274,无工作经验,无学历要求,1000-5000人,"汽车及零配件,批发/零售",4.5,1.5040773967762742,其他,民营公司
1275,无工作经验,本科,150-500人,"计算机服务(系统、数据服务、维修),计算机软件",11.0,2.3978952727983707,上海,民营公司
1276,3-4年经验,本科,500-1000人,"批发/零售,石油/化工/矿产/地质",7.5,2.0149030205422647,杭州,国企
1277,3-4年经验,本科,1000-5000人,"通信/电信运营、增值服务,互联网/电子商务",16.0,2.772588722239781,北京,上市公司
1278,3-4年经验,本科,150-500人,"互联网/电子商务,计算机软件",12.5,2.5257286443082556,其他,民营公司
1279,3-4年经验,博士,50-150人,互联网/电子商务,12.5,2.5257286443082556,北京,民营公司
1280,无工作经验,硕士,少于50人,金融/投资/证券,15.0,2.70805020110221,深圳,民营公司
1281,5-7年经验,本科,1000-5000人,"互联网/电子商务,交通/运输/物流",17.0,2.833213344056216,上海,民营公司
1282,无工作经验,本科,50-150人,"计算机软件,网络游戏",3.5,1.252762968495368,其他,民营公司
1283,5-7年经验,本科,5000-10000人,互联网/电子商务,22.5,3.1135153092103742,上海,上市公司
1284,3-4年经验,无学历要求,1000-5000人,"互联网/电子商务,教育/培训/院校",24.0,3.1780538303479458,深圳,民营公司
1285,无工作经验,无学历要求,50-150人,电子技术/半导体/集成电路,10.0,2.302585092994046,其他,民营公司
1286,无工作经验,无学历要求,500-1000人,服装/纺织/皮革,4.95,1.599387576580599,其他,民营公司
1287,无工作经验,大专,1000-5000人,"多元化业务集团公司,制药/生物工程",7.0,1.9459101490553132,其他,民营公司
1288,无工作经验,硕士,150-500人,电子技术/半导体/集成电路,18.5,2.917770732084279,其他,民营公司
1289,无工作经验,无学历要求,150-500人,"互联网/电子商务,批发/零售",22.5,3.1135153092103742,上海,民营公司
1290,5-7年经验,本科,150-500人,"互联网/电子商务,金融/投资/证券",15.0,2.70805020110221,广州,创业公司
1291,2年经验,本科,少于50人,"专业服务(咨询、人力资源、财会),网络游戏",15.0,2.70805020110221,广州,民营公司
1292,无工作经验,本科,500-1000人,"银行,金融/投资/证券",8.5,2.1400661634962708,其他,上市公司
1293,无工作经验,无学历要求,150-500人,"互联网/电子商务,汽车及零配件",25.0,3.2188758248682006,上海,民营公司
1294,无工作经验,本科,10000人以上,石油/化工/矿产/地质,16.0,2.772588722239781,其他,外资企业
1295,无工作经验,本科,150-500人,"物业管理/商业中心,奢侈品/收藏品/工艺品/珠宝",9.0,2.1972245773362196,杭州,外资企业
1296,3-4年经验,本科,150-500人,"金融/投资/证券,政府/公共事业",20.833333333333336,3.036554268074246,杭州,国企
1297,3-4年经验,本科,500-1000人,服装/纺织/皮革,9.0,2.1972245773362196,深圳,民营公司
1298,无工作经验,硕士,500-1000人,教育/培训/院校,3.0,1.0986122886681098,西安,上市公司
1299,无工作经验,无学历要求,150-500人,"互联网/电子商务,快速消费品(食品、饮料、化妆品)",15.0,2.70805020110221,杭州,民营公司
1300,3-4年经验,本科,50-150人,"互联网/电子商务,计算机软件",5.5,1.7047480922384253,武汉,民营公司
1301,无工作经验,无学历要求,50-150人,互联网/电子商务,12.5,2.5257286443082556,杭州,民营公司
1302,无工作经验,大专,150-500人,计算机软件,5.25,1.6582280766035324,广州,民营公司
1303,3-4年经验,大专,少于50人,"计算机软件,网络游戏",17.5,2.8622008809294686,广州,民营公司
1304,2年经验,大专,少于50人,"计算机软件,计算机服务(系统、数据服务、维修)",8.0,2.0794415416798357,其他,民营公司
1305,3-4年经验,大专,50-150人,计算机软件,15.0,2.70805020110221,其他,民营公司
1306,3-4年经验,本科,1000-5000人,"通信/电信/网络设备,计算机软件",17.5,2.8622008809294686,上海,国企
1307,3-4年经验,本科,150-500人,互联网/电子商务,15.0,2.70805020110221,上海,民营公司
1308,1年经验,本科,150-500人,计算机软件,11.5,2.4423470353692043,深圳,民营公司
1309,2年经验,本科,150-500人,"互联网/电子商务,批发/零售",15.0,2.70805020110221,上海,民营公司
1310,无工作经验,本科,150-500人,"互联网/电子商务,计算机软件",35.0,3.5553480614894135,广州,合资
1311,3-4年经验,本科,150-500人,"互联网/电子商务,通信/电信/网络设备",12.5,2.5257286443082556,深圳,民营公司
